run_date,retailer_id,branch_id,timeframe_start,timeframe_end,net_revenue,margin,total_cost,other_income_total,net_profit,cost_per_day,cost_per_revenue,cost_group_name,cost_group_value,cost_group_percent,timeframe_type
2025-05-05,500603355,326600,2025-04-01,2025-04-29,498769161.000000,498769161.0,0.0,0.000000,498769161.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,1000271538,2025-04-01,2025-04-29,4213958163.000000,4213958163.0,0.0,0.000000,4213958163.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,296817,2025-04-01,2025-04-29,44238715.000000,44238715.0,0.0,0.000000,44238715.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,1000271648,2025-04-01,2025-04-29,37935142.000000,37935142.0,0.0,0.000000,37935142.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,296819,2025-04-01,2025-04-29,761359895.000000,761359895.0,0.0,0.000000,761359895.0,1.0,0.0,"[""payment_point"",""employee_salary"",""damage_product"",""delivery_partner_fee"",""payment_voucher"",""OtherCosts""]","[0,0,0,0,0,0]",[],Quý này
2025-05-05,500603355,1000271587,2025-04-01,2025-04-29,2123902560.000000,2123902560.0,0.0,0.000000,2123902560.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,296815,2025-04-01,2025-04-29,501227275.000000,501227275.0,0.0,0.000000,501227275.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,1000271588,2025-04-01,2025-04-29,1209184451.400000,1209184451.4,0.0,0.000000,1209184451.4,1.0,0.0,,,,Quý này
2025-05-05,500603355,320846,2025-04-01,2025-04-29,189502960.000000,189502960.0,0.0,0.000000,189502960.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,1000271641,2025-04-01,2025-04-29,280577187.000000,280577187.0,0.0,0.000000,280577187.0,1.0,0.0,,,,Quý này
2025-05-05,541173,32600,2025-04-01,2025-04-29,7594891782.000000,1729193671.944109,1327417429.0,770687.000000,402546929.94411427,47407766.321428575,0.1709997502279611,,,,Quý này
2025-05-05,500603355,304106,2025-04-01,2025-04-29,28288219.000000,28288219.0,0.0,0.000000,28288219.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,316614,2025-04-01,2025-04-29,282795076.000000,282795076.0,0.0,0.000000,282795076.0,1.0,0.0,,,,Quý này
