run_date,retailer_id,branch_id,timeframe_start,timeframe_end,grouping_customer_rfm,num_customer_rfm,customer_ratio_rfm,revenue_rfm,return_value_rfm,profit_rfm
2025-05-05,500603355,1000271596,2024-04-01,2025-04-29,"[1,3]","[20,9]","[68.97,31.03]","[582294492,202605408]","[0,0]","[582294492,202605408]"
2025-05-05,500603355,296919,2024-04-01,2025-04-29,"[1,2,3]","[10,1,26]","[27.03,2.7,70.27]","[5051316405,168861791,147543665]","[0,0,0]","[5051316405,168861791,147543665]"
2025-05-05,500603355,317609,2024-04-01,2025-04-29,"[1,2,3]","[22,1,1]","[91.67,4.17,4.17]","[2125324682,38455751,3856529]","[0,0,0]","[2125324682,38455751,3856529]"
2025-05-05,500603355,1000271641,2024-04-01,2025-04-29,"[1,3]","[9,8]","[52.94,47.06]","[324136372,140961264]","[0,0]","[324136372,140961264]"
2025-05-05,500603355,317610,2024-04-01,2025-04-29,[1],[1],[100.0],[198875907],[0],[198875907]
2025-05-05,500603355,296817,2024-04-01,2025-04-29,"[1,2,3,4]","[8,10,3,2]","[34.78,43.48,13.04,8.7]","[1182572602,122204675,20041020,27509642]","[0,0,0,0]","[1182572602,122204675,20041020,27509642]"
2025-05-05,500603355,1000271590,2024-04-01,2025-04-29,[3],[13],[100.0],[355718067],[0],[355718067]
2025-05-05,500603355,296820,2024-04-01,2025-04-29,"[1,2,3]","[5,3,12]","[25.0,15.0,60.0]","[1362520124,102114318,55307522]","[0,0,0]","[1362520124,102114318,55307522]"
2025-05-05,500603355,1000271190,2024-04-01,2025-04-29,"[1,3]","[4,4]","[50.0,50.0]","[893977877,15496163]","[0,0]","[893977877,15496163]"
2025-05-05,500603355,294602,2024-04-01,2025-04-29,"[1,2,3,5]","[21,1,1,1]","[87.5,4.17,4.17,4.17]","[69969148624,245141516,53875234,0]","[79716096,0,0,0]","[69889432528,245141516,53875234,0]"
2025-05-05,500603355,316614,2024-04-01,2025-04-29,"[1,2,3]","[12,6,2]","[60.0,30.0,10.0]","[2488740730,537975223,28664876]","[0,0,0]","[2488740730,537975223,28664876]"
2025-05-05,500603355,296815,2024-04-01,2025-04-29,"[1,2,3,4]","[26,10,3,2]","[63.41,24.39,7.32,4.88]","[4006302966,122683322,49502335,642755]","[0,0,0,0]","[4006302966,122683322,49502335,642755]"
2025-05-05,500603355,296794,2024-04-01,2025-04-29,"[1,3]","[18,15]","[54.55,45.45]","[4805451972,144466617]","[0,0]","[4805451972,144466617]"
2025-05-05,500603355,296790,2024-04-01,2025-04-29,"[1,2,3,4]","[95,14,4,2]","[82.61,12.17,3.48,1.74]","[43266082318,886842873,28664411,64442082]","[21912080,0,0,0]","[43244170238,886842873,28664411,64442082]"
