branch_id,month,num_day,num_sold_day,num_customer,num_old_customer,num_new_customer,total_num_return_products,total_num_return_products_old_class,total_num_return_products_by_new_class,total_num_sold_products,total_num_sold_product_old_class,total_num_sold_product_new_class,total_num_sold_product_to_old_cus,total_num_sold_product_to_new_cus,num_invoices,num_invoices_to_old_cus,num_invoices_to_new_cus,total_revenue,total_revenue_from_old_cus,total_revenue_from_new_cus,total_revenue_product_old_class,total_revenue_product_new_class,total_return_revenue,net_revenue,total_cost,gross_profit
298477,3/1/2025,31,18,269,0,269,48,0,48,3393,0,3393,0,3274,2475,0,2380,284627595,0,272381435,0,284627595,4160690,280466905,198446837,82020068
235845,3/1/2025,31,18,550,0,550,55,0,55,10485,0,10485,0,10020,2753,0,2581,738242000,0,717170500,0,738242000,13443500,724798500,568392034,156406466
1249869,3/1/2025,31,18,24525,0,24525,319,0,319,91433,0,91433,0,91262,73916,0,73895,1986210985,0,1983028785,0,1986210985,6884540,1979326445,956659157,1022667288
16452,3/1/2025,31,18,3336,0,3336,314,0,314,51385,0,51385,0,50254,15929,0,15297,3992209097,0,3918727397,0,3992209097,47682100,3944526997,2905635550,1038891447
235959,3/1/2025,31,18,458,0,458,35,0,35,6700,0,6700,0,6165,2082,0,1791,561221000,0,533899500,0,561221000,7915000,553306000,423208060,130097940
235844,3/1/2025,31,18,973,0,973,67,0,67,10943,0,10943,0,10808,3944,0,3877,940054499,0,932879999,0,940054499,12530900,927523599,673926260,253597340
226636,3/1/2025,31,18,917,0,917,124,0,124,13854,0,13854,0,12194,4792,0,3804,1162694198,0,1068673500,0,1162694198,12151698,1150542500,886065961,264476539
73817,3/1/2025,31,18,881,0,881,62,0,62,11475,0,11475,0,10788,9507,0,8979,912064583,0,870216106,0,912064583,6612195,905452387,670622543,234829845
247927,3/1/2025,31,18,523,0,523,16,0,16,8011,0,8011,0,7360,2379,0,1990,662087500,0,626838000,0,662087500,1450000,660637500,512591616,148045884
180921,3/1/2025,31,18,856,0,856,200,0,200,14811,0,14811,0,14094,11514,0,11101,1183894205,0,1148310846,0,1183894205,21361171,1162533035,857563693,304969342
248120,3/1/2025,31,6,79,0,79,44,0,44,1157,0,1157,0,1155,305,0,303,161766500,0,161749500,0,161766500,13520000,148246500,132446402,15800098
1000000215,3/1/2025,31,18,779,0,779,171,0,171,11184,0,11184,0,10979,3268,0,3181,908329500,0,895908000,0,908329500,23922500,884407000,678354364,206052636
233402,3/1/2025,31,18,1667,0,1667,649,0,649,27659,0,27659,0,27060,7691,0,7372,2234185999,0,2191398999,0,2234185999,83404500,2150781499,1577793759,572987740
281364,3/1/2025,31,18,3,0,3,0,0,0,5090,0,5090,0,5090,433,0,433,206668689,0,206668689,0,206668689,0,206668689,111347362,95321326
