run_date,retailer_id,branch_id,timeframe_start,timeframe_end,net_revenue,margin,total_cost,other_income_total,net_profit,cost_per_day,cost_per_revenue,cost_group_name,cost_group_value,cost_group_percent,timeframe_type
2025-05-05,500603355,326600,2025-04-01,2025-04-29,498769161.0,498769161.0,0.0,0.0,498769161.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,1000271538,2025-04-01,2025-04-29,4213958163.0,4213958163.0,0.0,0.0,4213958163.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,296817,2025-04-01,2025-04-29,44238715.0,44238715.0,0.0,0.0,44238715.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,1000271648,2025-04-01,2025-04-29,37935142.0,37935142.0,0.0,0.0,37935142.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,296819,2025-04-01,2025-04-29,761359895.0,761359895.0,0.0,0.0,761359895.0,1.0,0.0,"[""payment_point"",""employee_salary"",""damage_product"",""delivery_partner_fee"",""payment_voucher"",""OtherCosts""]","[0,0,0,0,0,0]",[],Quý này
2025-05-05,500603355,1000271587,2025-04-01,2025-04-29,2123902560.0,2123902560.0,0.0,0.0,2123902560.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,296815,2025-04-01,2025-04-29,501227275.0,501227275.0,0.0,0.0,501227275.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,1000271588,2025-04-01,2025-04-29,1209184451.4,1209184451.4,0.0,0.0,1209184451.4,1.0,0.0,,,,Quý này
2025-05-05,500603355,320846,2025-04-01,2025-04-29,189502960.0,189502960.0,0.0,0.0,189502960.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,1000271641,2025-04-01,2025-04-29,280577187.0,280577187.0,0.0,0.0,280577187.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,304106,2025-04-01,2025-04-29,28288219.0,28288219.0,0.0,0.0,28288219.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,316614,2025-04-01,2025-04-29,282795076.0,282795076.0,0.0,0.0,282795076.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,1000271593,2025-04-01,2025-04-29,550029322.0,550029322.0,0.0,0.0,550029322.0,1.0,0.0,"[""OtherCosts"",""delivery_partner_fee"",""payment_voucher"",""damage_product"",""payment_point"",""employee_salary""]","[0,0,0,0,0,0]",[],Quý này
2025-05-05,500603355,1000271695,2025-04-01,2025-04-29,263902809.0,263902809.0,0.0,0.0,263902809.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,310192,2025-04-01,2025-04-29,461989771.0,461989771.0,0.0,0.0,461989771.0,1.0,0.0,"[""employee_salary"",""delivery_partner_fee"",""payment_voucher"",""payment_point"",""OtherCosts"",""damage_product""]","[0,0,0,0,0,0]",[],Quý này
2025-05-05,500603355,296794,2025-04-01,2025-04-29,729907851.0,729907851.0,0.0,0.0,729907851.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,320852,2025-04-01,2025-04-29,706223724.0,706223724.0,0.0,0.0,706223724.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,1000271591,2025-04-01,2025-04-29,196156437.0,196156437.0,0.0,0.0,196156437.0,1.0,0.0,"[""payment_point"",""OtherCosts"",""delivery_partner_fee"",""employee_salary"",""payment_voucher"",""damage_product""]","[0,0,0,0,0,0]",[],Quý này
